type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount,wastage_percentage,wastage_category
dairy products,400,corporate,500,room temperature,regular,all seasons,sit-down dinner,rural,high,40,8.0,low
dairy products,350,wedding,450,room temperature,regular,all seasons,sit-down dinner,suburban,high,45,10.0,medium
dairy products,400,birthday,500,room temperature,regular,all seasons,sit-down dinner,suburban,low,25,5.0,low
baked goods,350,corporate,450,room temperature,regular,winter,sit-down dinner,urban,moderate,25,5.56,low
dairy products,400,wedding,500,room temperature,occasional,all seasons,finger food,rural,high,40,8.0,low
baked goods,292,corporate,470,room temperature,regular,all seasons,sit-down dinner,urban,high,50,10.64,medium
baked goods,320,social gathering,400,room temperature,regular,summer,finger food,rural,moderate,25,6.25,low
baked goods,450,social gathering,500,room temperature,regular,all seasons,finger food,rural,high,30,6.0,low
fruits,280,social gathering,350,room temperature,occasional,summer,finger food,suburban,moderate,20,5.71,low
meat,380,corporate,480,refrigerated,regular,winter,buffet,suburban,moderate,30,6.25,low
meat,207,corporate,280,refrigerated,regular,winter,finger food,suburban,high,20,7.14,low
meat,491,birthday,497,room temperature,regular,winter,finger food,urban,high,38,7.65,low
meat,267,corporate,393,refrigerated,regular,summer,sit-down dinner,rural,low,24,6.11,low
dairy products,280,corporate,350,room temperature,regular,all seasons,finger food,urban,moderate,20,5.71,low
baked goods,280,corporate,350,room temperature,regular,all seasons,finger food,suburban,moderate,20,5.71,low
dairy products,280,corporate,350,room temperature,regular,all seasons,finger food,rural,moderate,20,5.71,low
baked goods,400,social gathering,500,room temperature,regular,winter,sit-down dinner,suburban,high,50,10.0,medium
dairy products,320,birthday,400,room temperature,regular,all seasons,finger food,suburban,moderate,20,5.0,low
dairy products,280,social gathering,350,room temperature,regular,summer,finger food,rural,moderate,20,5.71,low
baked goods,491,social gathering,497,room temperature,regular,all seasons,finger food,suburban,high,32,6.44,low
dairy products,438,corporate,493,room temperature,regular,all seasons,sit-down dinner,urban,moderate,35,7.1,low
dairy products,350,corporate,450,room temperature,regular,all seasons,sit-down dinner,rural,moderate,25,5.56,low
baked goods,442,social gathering,482,room temperature,regular,all seasons,sit-down dinner,suburban,low,32,6.64,low
meat,270,corporate,470,refrigerated,regular,winter,sit-down dinner,urban,high,40,8.51,low
meat,284,social gathering,443,refrigerated,occasional,winter,buffet,rural,low,32,7.22,low
meat,250,wedding,400,refrigerated,occasional,winter,sit-down dinner,urban,low,25,6.25,low
meat,320,corporate,400,refrigerated,regular,summer,finger food,rural,moderate,25,6.25,low
meat,220,wedding,300,refrigerated,occasional,winter,finger food,rural,moderate,15,5.0,low
meat,367,social gathering,420,refrigerated,regular,all seasons,buffet,urban,low,40,9.52,low
meat,434,birthday,495,refrigerated,regular,winter,sit-down dinner,suburban,high,36,7.27,low
meat,240,birthday,450,refrigerated,regular,all seasons,sit-down dinner,urban,low,20,4.44,low
fruits,380,birthday,480,room temperature,regular,winter,buffet,suburban,moderate,30,6.25,low
dairy products,320,birthday,400,room temperature,regular,summer,buffet,rural,high,40,10.0,medium
fruits,250,social gathering,480,refrigerated,regular,winter,finger food,urban,low,20,4.17,low
fruits,302,corporate,371,room temperature,regular,all seasons,buffet,suburban,low,27,7.28,low
vegetables,267,corporate,393,refrigerated,regular,summer,sit-down dinner,urban,low,24,6.11,low
fruits,320,corporate,400,room temperature,regular,all seasons,buffet,urban,moderate,25,6.25,low
baked goods,488,corporate,498,room temperature,regular,winter,finger food,urban,high,63,12.65,medium
meat,350,corporate,450,room temperature,regular,winter,sit-down dinner,suburban,high,45,10.0,medium
vegetables,300,birthday,400,refrigerated,regular,summer,finger food,suburban,moderate,15,3.75,low
dairy products,472,birthday,489,room temperature,regular,all seasons,buffet,urban,low,36,7.36,low
fruits,380,corporate,480,refrigerated,occasional,all seasons,buffet,suburban,moderate,30,6.25,low
vegetables,429,wedding,496,refrigerated,regular,all seasons,sit-down dinner,rural,low,42,8.47,low
baked goods,220,birthday,300,refrigerated,regular,all seasons,finger food,suburban,low,15,5.0,low
meat,220,social gathering,300,room temperature,regular,summer,finger food,suburban,low,15,5.0,low
fruits,350,corporate,450,refrigerated,regular,winter,sit-down dinner,suburban,moderate,30,6.67,low
dairy products,250,corporate,350,room temperature,regular,winter,finger food,urban,high,30,8.57,low
fruits,230,wedding,500,room temperature,regular,winter,sit-down dinner,suburban,moderate,30,6.0,low
meat,320,corporate,400,refrigerated,regular,winter,buffet,urban,high,45,11.25,medium
meat,310,wedding,450,refrigerated,occasional,summer,buffet,urban,low,25,5.56,low
fruits,491,birthday,497,refrigerated,regular,winter,finger food,rural,high,32,6.44,low
meat,491,birthday,497,refrigerated,regular,summer,finger food,suburban,high,32,6.44,low
meat,280,birthday,350,refrigerated,regular,summer,finger food,rural,moderate,20,5.71,low
meat,292,corporate,470,refrigerated,regular,winter,sit-down dinner,rural,high,50,10.64,medium
vegetables,300,wedding,400,refrigerated,occasional,summer,buffet,suburban,high,30,7.5,low
vegetables,280,social gathering,350,refrigerated,regular,summer,buffet,urban,low,20,5.71,low
meat,300,corporate,400,refrigerated,occasional,summer,finger food,rural,moderate,25,6.25,low
vegetables,380,wedding,500,refrigerated,regular,winter,sit-down dinner,urban,high,35,7.0,low
fruits,380,birthday,480,refrigerated,regular,all seasons,buffet,suburban,moderate,30,6.25,low
fruits,400,wedding,500,room temperature,regular,winter,sit-down dinner,urban,high,45,9.0,low
fruits,350,wedding,450,refrigerated,regular,all seasons,sit-down dinner,urban,high,35,7.78,low
meat,320,birthday,400,refrigerated,occasional,summer,finger food,suburban,moderate,20,5.0,low
fruits,429,wedding,496,room temperature,regular,summer,sit-down dinner,suburban,low,42,8.47,low
vegetables,350,corporate,450,refrigerated,regular,summer,sit-down dinner,urban,high,35,7.78,low
fruits,491,birthday,497,room temperature,regular,all seasons,finger food,urban,high,32,6.44,low
meat,350,birthday,450,room temperature,regular,winter,sit-down dinner,urban,moderate,25,5.56,low
meat,491,social gathering,497,room temperature,regular,winter,finger food,urban,high,32,6.44,low
baked goods,310,corporate,350,room temperature,regular,summer,finger food,urban,high,35,10.0,medium
baked goods,284,social gathering,443,room temperature,regular,winter,buffet,rural,low,32,7.22,low
fruits,220,wedding,300,room temperature,regular,all seasons,finger food,urban,moderate,15,5.0,low
fruits,250,wedding,350,room temperature,regular,all seasons,finger food,rural,moderate,20,5.71,low
